"F [GHz]","Ldiff [] - $S='8um'","Ldiff [] - $S='11um'","Ldiff [] - $S='12um'","Ldiff [] - $S='14um'","Ldiff [] - $S='16um'","Qdiff [] - $S='8um'","Qdiff [] - $S='11um'","Qdiff [] - $S='12um'","Qdiff [] - $S='14um'","Qdiff [] - $S='16um'"
5.55,9.61996683392094,7.50907229079455,7.11547112495856,6.50249748929652,5.98631355858618,10.3381175922682,12.8588072267482,13.2616033264048,13.9424511808772,14.9969270491104
5.6,9.8344759101523,7.61476396059639,7.20610179618041,6.57347466830855,6.0409973333133,10.1055066010248,12.670630622852,13.083503760803,13.7828926490081,14.848723637814
5.65,10.0610699652048,7.72459153364041,7.3000246036086,6.64676060385634,6.09725548099757,9.86937746775807,12.4795039877726,12.9026214852705,13.62061809552,14.6979773277973
5.7,10.3007587514167,7.83878647869403,7.39740870103213,6.72245943241756,6.15514920623498,9.6298209506203,12.285501100082,12.7190273592122,13.4556927839713,14.5447524628305
5.75,10.5546669373802,7.95759798230654,7.4984351550079,6.80068176461393,6.21474302176361,9.38692853661689,12.0886955685533,12.5327919100042,13.2881816424402,14.3891128451194
5.8,10.8240506958271,8.08129465869483,7.60329800026625,6.88154518953546,6.27610497120419,9.14079239678532,11.8891608061863,12.3439853111152,13.1181492422587,14.2311217179722
5.85,11.1103172030133,8.21016646006207,7.71220540862652,6.96517482676597,6.33930687003085,8.89150534143907,11.6869700053429,12.1526773614114,12.9456597779295,14.0708417496703
5.9,11.4150476513855,8.34452681503243,7.82538098579179,7.05170393141276,6.40442456652154,8.6391607754973,11.4821961139728,11.9589374656133,12.7707770481972,13.9083350185059
5.95,11.7400245199345,8.48471502729316,7.94306521248785,7.14127455812205,6.47153822463076,8.38385265391976,11.2749118129015,11.7628346158735,12.5935644382395,13.7436629989474
6,12.0872640270108,8.63109897174021,8.06551704885412,7.23403829083968,6.54073263094504,8.1256754372657,11.0651894941601,11.5644373744439,12.4140849029468,13.5768865489001
6.05,12.4590549193007,8.78407813158266,8.19301572384696,7.33015704596864,6.61209752812648,7.86472404739644,10.8531012403285,11.363813857397,12.2324009512586,13.4080658980233
6.1,12.8580050421008,8.94408702717128,8.32586273475489,7.42980395760047,6.68572797752676,7.60109382333859,10.6387188048676,11.1610317193716,12.0485746315232,13.2372606370678
6.15,13.2870975079435,9.11159909601717,8.46438408584438,7.53316435467795,6.76172475396598,7.3348804773273,10.422113593414,10.9561581393081,11.862667517849,13.064529708201
6.2,13.7497587558588,9.28713109385001,8.60893279976456,7.64043684130942,6.84019477602501,7.06618005104576,10.2033566460099,10.7492598071413,11.6747406974134,12.8899313962812
6.25,14.2499414005956,9.4712480989945,8.75989174077596,7.75183449302986,6.92125157560085,6.7950888720786,9.98251862024269,10.540402911417,11.4848547586988,12.7135233210486
6.3,14.7922255443113,9.66456921726447,8.91767679529649,7.8675861836293,7.00501581092953,6.52170351059568,9.75966977526416,10.3296531278009,11.2930697806218,12.5353624301985
6.35,15.3819432012623,9.86777410253746,9.08274046287712,7.98793805928806,7.09161582779924,6.2461207362831,9.53487995666533,10.1170756084453,11.0994453225253,12.3555049933032
