"F [GHz]","Ldiff [] - $R_out='180um'","Ldiff [] - $R_out='190um'","Ldiff [] - $R_out='200um'","Ldiff [] - $R_out='210um'","Ldiff [] - $R_out='213um'","Ldiff [] - $R_out='220um'","Qdiff [] - $R_out='180um'","Qdiff [] - $R_out='190um'","Qdiff [] - $R_out='200um'","Qdiff [] - $R_out='210um'","Qdiff [] - $R_out='213um'","Qdiff [] - $R_out='220um'"
10.55,10.1539362036765,20.6205433518354,-29.3702134926069,-13.9831586559958,-12.0874943859379,-9.06005973539961,5.33012937829568,2.53130852926527,-0.640990100176605,-4.37045832415595,-5.24938050487507,-7.06893819509427
10.6,10.4552950679967,21.7494347180842,-31.7620049082971,-13.3318272386709,-11.5848435632634,-8.75943675156961,5.15129346711041,2.33742743498516,-0.849273635166191,-4.57993774355564,-5.46162496056504,-7.2742015260303
10.65,10.7761977722974,22.9653543900264,-32.0005344755167,-12.7321636395605,-11.118143971998,-8.47591689088265,4.97209290366596,2.14352503491611,-1.0571593697538,-4.78847098565396,-5.67280500980758,-7.47808072351622
10.7,11.1184808589891,24.2584076318668,-31.0527811744872,-12.1785891260194,-10.6838113006721,-8.20811271100661,4.79254586747737,1.94962141716117,-1.26462459863285,-4.99603414449253,-5.88289571012487,-7.68055312307166
10.75,11.4841968081231,25.6021791144154,-29.5417376334818,-11.6662460410525,-10.2787038827393,-7.95478016910141,4.61267049395027,1.75573658783029,-1.47164678402577,-5.20260359798672,-6.09187244140473,-7.88159644778459
10.8,11.8756411765279,26.9404945262347,-27.8229798950904,-11.1908965266824,-9.90005972559304,-7.7148009209673,4.43248487711666,1.56189047384381,-1.67820355417967,-5.40815600803705,-6.29971090719791,-8.08118880939693
10.85,12.2953819683509,28.164990503957,-26.0843501754909,-10.7488347751339,-9.5454432717306,-7.48716712112128,4.252007072329,1.36810292566016,-1.8842727019329,-5.61266832069531,-6.50638713606227,-8.27930870942488
10.9,12.7462904295854,29.0789616233556,-24.4179867225303,-10.3368117661748,-9.21270036726505,-7.27096833187109,4.07125509891057,1.17439371992543,-2.08983218335388,-5.81611776638354,-6.71187748295112,-8.47593504030935
10.95,13.2315716199921,29.3450754592671,-22.8640862290188,-9.95197108205257,-8.89992012313198,-7.06538021580366,3.89024694275977,0.98078256204303,-2.29486011645306,-6.01848186016421,-6.91615863064092,-8.67104708659278
11,13.7547916980916,28.4282008318774,-21.4356349947268,-9.59179432880429,-8.60540255369892,-6.86965474063468,3.70900055890512,0.787289088661122,-2.49933477996827,-6.21973840205974,-7.1192075911964,-8.86462452611707
11.05,14.3198964773523,25.5871606827066,-20.1319189478715,-9.25405477550908,-8.32763105581983,-6.68311167022082,3.52753387400925,0.593932870075745,-2.70323461222491,-6.41986547741887,-7.32100170746817,-9.05664743123945
11.1,14.9312118354422,20.0488094773258,-18.9457658231071,-8.93677796687726,-8.06524894572164,-6.50513115248623,3.3458647888191,0.400733412548022,-2.9065382100711,-6.61884145732912,-7.52151865462103,-9.24709627006017
11.15,15.5934099056678,11.5190410793263,-17.8673655093534,-8.63820822563739,-7.81703940208403,-6.33514724550833,3.16401118056001,0.207710160533054,-3.10922432788907,-6.81664499907179,-7.72073644168695,-9.43595190765869
11.2,16.3114138206124,0.857549870906015,-16.8862403689209,-8.35678011782266,-7.58190827347422,-6.17264224822705,2.98199090527132,0.0148824988190871,-3.31127187668204,-7.01325504661895,-7.9186334131413,-9.62319560733339
11.25,17.0901949893729,-9.89229498901122,-15.992220773692,-8.09109409654164,-7.35886929966397,-6.01714172314593,2.79982180008118,-0.177730245425244,-3.51265992323884,-7.20865083116901,-8.11518825049819,-9.80880903184054
11.3,17.9343851263764,-18.6194110940874,-15.1758893932726,-7.83989566471634,-7.14703137204935,-5.86821011576519,2.61752168541832,-0.370108800696978,-3.71336768937492,-7.40281187171975,-8.31037997391909,-9.99277424462802
11.35,18.8475713785794,-24.34154674407,-14.4287455461234,-7.60205750435558,-6.94558752095482,-5.7254468899585,2.43510836715846,-0.562233949300228,-3.91337455125175,-7.59571797567597,-8.50418794383456,-10.1750737110587
11.4,19.831051469568,-27.2857793698377,-13.7432259417367,-7.37656411049625,-6.75380536926474,-5.58848311059331,2.25259963870316,-0.754086525584454,-4.11266003877302,-7.78734923949021,-8.69659186257187,-10.3556902996207
11.45,20.8816713204202,-28.2251050131509,-13.112655606072,-7.1624985438822,-6.57101883448863,-5.45697841481773,2.07001328298892,-0.945647414281088,-4.31120383505996,-7.97768604933394,-8.88757177598781,-10.5346072831172
11.5,21.988110488036,-27.9278085242291,-12.531168613798,-6.95903097979073,-6.39662089662986,-5.33061832193735,1.88736707442433,-1.13689754894031,-4.5089857760044,-8.16670908179698,-9.07710807509989,-10.7118083398347
11.55,23.124567399222,-26.9554751619468,-11.9936195187342,-6.76540878308988,-6.23005727841235,-5.20911183896185,1.70467878075327,-1.32781791046926,-4.70598584989987,-8.35439930461241,-9.26518149771543,-10.8872775546835
11.6,24.2401821050819,-25.6630834491129,-11.4954961009013,-6.58094788335008,-6.07082090861524,-5.09218932494197,1.52196616484185,-1.51838952577332,-4.9021841971518,-8.54073797740752,-9.45177313005089,-11.0609994203058
11.65,25.2417878769517,-24.2570778897609,-11.0328384411436,-6.40502526014141,-5.91844705936598,-4.97960058232959,1.33924698638724,-1.70859346650165,-5.09756111006549,-8.72570665247314,-9.63686440834207,-11.2329588381482
11.7,25.9672354797902,-22.8504273826079,-10.6021663121112,-6.2370723788014,-5.77250906497626,-4.87111314793118,1.15653900354618,-1.89841084789867,-5.29209703271274,-8.90928717555506,-9.82043712043791,-11.4031411194945
11.75,26.1485291266407,-21.5010309181782,-10.2004152873239,-6.07656944202381,-5.63261454386885,-4.76651075971432,0.973859974481333,-2.08782282776227,-5.48577256087628,-9.09146168666146,-10.0024734073752,-11.5715319864529
11.8,25.3736228704766,-20.2355609723302,-9.82488117759415,-5.92304034348647,-5.49840205682471,-4.66559197887241,0.791227658823412,-2.27681060551053,-5.67856844207259,-9.27221262088432,-10.1829557649322,-11.738117572896
11.85,23.0827417188093,-19.0634936307017,-9.47317204774306,-5.77604822713828,-5.36953814457404,-4.56816894924203,0.60865981904715,-2.4653554213578,-5.87046557565211,-9.45152270923527,-10.361867045155,-11.9028844253474
11.9,18.6828606673884,-17.9851449491679,-9.14316694503867,-5.63519157030635,-5.24571469598974,-4.47406627847079,0.426174221759314,-2.65343855560134,-6.06144501297697,-9.62937497948986,-10.5391904578537,-12.0658195038128
11.95,11.8799811413113,-16.9962021435849,-8.83298047131884,-5.50010072095948,-5.12664660508076,-4.38312002731185,0.243788638896847,-2.84104132801959,-6.25148795767566,-9.80575275704044,-10.7149095720665,-12.2269101825504
12,3.15342966449139,-16.0902448669102,-8.54093239044003,-5.37043482968224,-5.01206968084638,-4.29517679512408,0.0615208488331943,-3.0281450973832,-6.44057576597459,-9.98063966575554,-10.8890083174861,-12.3861442507767
12.05,-6.09577276286976,-15.2601241210694,-8.26552154698682,-5.24587912550806,-4.90173877901819,-4.21009289112572,-0.120611362608599,-3.21473126107954,-6.62868994710536,-10.1540196288415,-11.0614709858457,-12.5435099133062
12.1,-14.164999048682,-14.4986949520246,-8.00540346258751,-5.1261424920063,-4.79542612893327,-4.12773358221885,-0.302590201238235,-3.40078125485184,-6.81581216378765,-10.3258768697052,-11.2322822322613,-12.6989957911183
12.15,-19.9780664930921,-13.7991853684552,-7.75937106328303,-5.01095530614152,-4.69291983237115,-4.04797240930208,-0.484397863677226,-3.58627655265358,-7.00192423278768,-10.4961959128175,-11.4014270765262,-12.85259092185
12.2,-23.4101754455226,-13.1553622235692,-7.52633807082562,-4.90006750761114,-4.59402251424933,-3.97069056494405,-0.666016536636613,-3.77119866661903,-7.18700812554998,-10.6649615845714,-11.5688909043563,-13.0042847602113
12.25,-24.937849946282,-12.5615856152274,-7.30532466094642,-4.79324687077227,-4.49855010769066,-3.89577632612031,-0.847428396294823,-3.95552914715064,-7.37104596890368,-10.8321590141357,-11.7346594685801,-13.1540671783181
