"F [GHz]","Ldiff [] - $W='15um'","Ldiff [] - $W='17.5um'","Ldiff [] - $W='20um'","Ldiff [] - $W='22.5um'","Ldiff [] - $W='25um'","Ldiff [] - $W='27.5um'","Ldiff [] - $W='30um'","Qdiff [] - $W='15um'","Qdiff [] - $W='17.5um'","Qdiff [] - $W='20um'","Qdiff [] - $W='22.5um'","Qdiff [] - $W='25um'","Qdiff [] - $W='27.5um'","Qdiff [] - $W='30um'"
10.7,-7.04368624782592,-7.32055767067293,-7.30478688852407,-6.10432165983829,-6.03505633305341,-5.80433485771553,-5.60460347589932,-13.3314622367486,-12.3618721443786,-11.2107277683744,-11.9814093226431,-11.5666355620436,-11.2498632761699,-10.89682798264
10.75,-6.88675692786305,-7.14992458680321,-7.12943293012441,-5.96515554562571,-5.89431942250722,-5.6673561013696,-5.4703291865921,-13.5364366228664,-12.5680145256354,-11.4071330582765,-12.1701919451116,-11.7564499154766,-11.4369603995007,-11.0834573412232
10.8,-6.73559114270052,-6.98589472649959,-6.96109112776559,-5.83121305341887,-5.75900499954556,-5.5357189577535,-5.3413760036826,-13.7390726866782,-12.7720236518005,-11.6016195724613,-12.3568228723897,-11.9441842106863,-11.6219661810295,-11.2680569954416
10.85,-6.5898826697627,-6.82809847190759,-6.79935619607923,-5.70221066977457,-5.62881100888546,-5.40912232132608,-5.21743922068231,-13.9393503631404,-12.9738806920659,-11.7941711879863,-12.5412853859643,-12.129821862841,-11.8048634700965,-11.4506084115829
10.9,-6.44934646516174,-6.6761931027499,-6.64385325786304,-5.57788488888289,-5.50345725711826,-5.28728712921432,-5.09823677501661,-14.1372502520186,-13.1735673135952,-11.9847721424864,-12.7235633295968,-12.3133468139086,-11.9856356779615,-11.6310936165022
10.95,-6.31371687202134,-6.52986040573468,-6.49423506223762,-5.45799048766911,-5.38268348131886,-5.16995439260685,-4.98350719672643,-14.3327536116182,-13.3710656760748,-12.1734070289069,-12.9036411049808,-12.4947435290418,-12.1642667753615,-11.8094951964428
11,-6.18274600689495,-6.38880453321719,-6.35017950084064,-5.34229897539125,-5.26624761770112,-5.05688343415714,-4.87300777473127,-14.525842352552,-13.5663584264085,-12.3600607904402,-13.0815036674023,-12.6739969929744,-12.3407412900312,-11.9857962958045
11.05,-6.05620230404939,-6.25275008146571,-6.21138738569486,-5.23059719758981,-5.15392424669617,-4.94785030683205,-4.76651291438431,-14.7164990315514,-13.7594286935583,-12.544718715667,-13.2571365214029,-12.851092706423,-12.5150443041864,-12.1599806158562
11.1,-5.93386919995763,-6.12144036282478,-6.07758045733633,-5.12268607684584,-5.04550319394667,-4.8426463729106,-4.66381266358754,-14.9047068453209,-13.9502600835308,-12.7273664339004,-13.4305257164491,-13.0260166824986,-12.687161451967,-12.3320324133908
11.15,-5.81554394255634,-5.99463584943407,-5.94849959599937,-5.01837947503367,-4.94078826937359,-4.74107702462951,-4.56471138774931,-15.0904496244435,-14.1388366745121,-12.9079899107357,-13.601657842607,-13.1987554431234,-12.85707891684,-12.5019364993194
11.2,-5.70103651173019,-5.87211276904206,-5.82390321224471,-4.91750316367342,-4.83959612875606,-4.64296053036136,-4.4690265764427,-15.273711827337,-14.3251430121493,-13.0865754438015,-13.7705200262233,-13.3692960154564,-13.024783428958,-12.6696782372024
11.25,-5.59016863913153,-5.75366183592469,-5.70356579648606,-4.81989389064136,-4.74175524422574,-4.54812699226072,-4.3765877668279,-15.4544785342664,-14.5091641049825,-13.263109658717,-13.9370999256157,-13.5376259283255,-13.1902622624741,-12.8352435417144
11.3,-5.48277291686998,-5.63908710204442,-5.58727660950098,-4.72539853292511,-4.64710497176696,-4.45641740307665,-4.2872355707965,-15.6327354414123,-14.6908854200237,-13.4375795052497,-14.1013857267699,-13.7037332086655,-13.3535032328109,-12.998618877042
11.35,-5.37869198584317,-5.52820491541782,-5.47483849827084,-4.6338733263472,-4.55549470527183,-4.36768279134926,-4.20082079442396,-15.8084688550007,-14.8702928784851,-13.6099722536771,-14.263366139049,-13.8676063779616,-13.5144946938812,-13.1597912552099
11.4,-5.27777779555538,-5.42084297424267,-5.366066823441,-4.54518316425412,-4.46678310796064,-4.28178344552082,-4.11720363972242,-15.9816656854944,-15.0473728516561,-13.7802754913478,-14.4230303909097,-14.0292344487001,-13.6732255352603,-13.3187482343357
11.45,-5.17989092820813,-5.31683946670647,-5.26078848637086,-4.45920095810083,-4.3808374130716,-4.1985882086284,-4.03625297990073,-16.1523134418473,-15.2221121569281,-13.9484771194444,-14.5803682256322,-14.1886069208227,-13.8296851793075,-13.4754779168082
11.5,-5.08489998066423,-5.216042287588,-5.15884104519638,-4.37580705367388,-4.29753278667326,-4.11797383623109,-3.95784570039028,-16.3204002258256,-15.394498053966,-14.1145653499442,-14.7353698970593,-14.345713778186,-13.9838635782355,-13.6299689473886
11.55,-4.99268099860266,-5.11830832379827,-5.06007191058649,-4.29488869740631,-4.21675174628057,-4.0398244110822,-3.88186609880939,-16.4859147263947,-15.5645182410275,-14.2785287027771,-14.8880261653487,-14.5005454850256,-14.1357512111276,-13.7822105112343
